ID,Head,Beard,Headwear,Eyewear,Mouth Prop
0,Light 1,Normal Brown Beard & Mustache,Red Shemagh & Agal,Regular Pixel Shades,None
1,Light 1,Messy White Beard,Brown Shemagh & Agal,Big Purple Shades,None
2,Dark 1,None,Brown Shemagh & Agal,Big Pixel Shades,Shadowless Vape
3,Light 2,Short White Beard,Red Shemagh & Agal,Stylish Nerd Glasses,None
4,Dark 2,Shadow Beard,White Shemagh & Gold Agal,None,None
5,Medium 2,Luxurious Brown Beard,Brown Shemagh & Agal,None,None
6,Light 1,Normal Brown Beard,White Shemagh & Agal,Square Reflective Shades,None
7,Medium 2,Luxurious White Beard,Brown Shemagh & Crown,Classic Shades,Bubble Gum
8,Medium 2,Normal Brown Beard & Mustache,Red Shemagh,Big Purple Shades,None
9,Dark 1,Luxurious White Beard,Red Shemagh & Agal,Classic Shades,None
10,Light 2,Luxurious Brown Beard,Red Shemagh & Agal,Regular Pixel Shades,Vape
11,Dark 1,Stylish Mustache,White Shemagh,Classic Green Shades,None
12,Light 1,Messy White Beard,Red Shemagh & Agal,None,None
13,Dark 1,Normal White Beard,White Shemagh & Agal,Round Shades,None
14,Medium 1,Normal Brown Beard & Mustache,White Shemagh & Agal,Square Shades,None
15,Medium 2,Normal Brown Beard,Red Shemagh & Agal,None,None
16,Dark 1,Sideburns,Brown Shemagh & Agal,None,None
17,Medium 1,Shadow Beard,Brown Shemagh & Agal,Big Round Shades,None
18,Light 1,Luxurious White Beard,White Shemagh & Agal,Big Purple Shades,None
19,Medium 1,Clean Shaven,Red Shemagh & Agal,Big Green Shades,None
20,Dark 1,Light Beard,Brown Shemagh & Agal,None,None
21,Light 2,Normal Brown Beard,Brown Shemagh & Agal,Square Shades,None
22,Dark 2,Luxurious White Beard,White Shemagh & Agal,Classic Shades,None
23,Dark 2,Stylish Mustache,White Shemagh & Gold Agal,Big Purple Shades,None
24,Medium 2,Sideburns & Mustache,Red Shemagh & Agal,Big Round Shades,Cigar
25,Light 1,Luxurious Brown Beard,White Shemagh & Gold Agal,Big Round Shades,None
26,Dark 1,Light Beard,Red Shemagh & Agal,Big Green Shades,None
27,Light 1,Short Grey Beard,White Shemagh & Agal,Regular Shades,None
28,Light 1,Sideburns & Mustache,White Shemagh & Agal,VR,None
29,Medium 1,Shadow Beard,Red Shemagh & Agal,Stylish Nerd Glasses,None
30,Medium 1,Light Beard,Red Shemagh,Small Shades,Pearwood Pipe
31,Dark 2,Shadow Beard & Mustache,White Shemagh & Stylish Gold Agal,None,Bubble Gum
32,Dark 2,Luxurious Brown Beard,White Shemagh & Agal,Big Shades,None
33,Light 1,Normal Brown Beard,Red Shemagh,Square Shades,None
34,Medium 1,Luxurious Brown Beard,White Shemagh & Agal,Regular Reflective Shades,None
35,Dark 2,Clean Shaven,White Shemagh & Agal,Rimless Glasses,Cigar
36,Light 1,Short Grey Beard,Brown Shemagh & Agal,None,None
37,Medium 2,Normal White Beard,White Shemagh,Classic Gold Shades,None
38,Dark 2,Short Grey Beard,White Shemagh & Agal,Small Shades,None
39,Medium 2,Short Grey Beard,Red Shemagh & Agal,None,None
40,Light 1,Normal Brown Beard & Mustache,White Shemagh & Agal,Round Shades,None
41,Dark 2,Normal Brown Beard,White Shemagh & Agal,Regular Pixel Shades,Shadowless Vape
42,Dark 1,Normal Brown Beard,White Shemagh,Classic Gold Shades,Bubble Gum
43,Light 2,Normal Brown Beard,Brown Shemagh & Agal,Regular Reflective Shades,None
44,Light 1,Short Grey Beard,Brown Shemagh & Agal,Rimless Glasses,Vape
45,Medium 1,Normal Brown Beard,White Shemagh & Gold Agal,None,Shadowless Cigarette
46,Light 1,Sideburns & Mustache,Brown Shemagh & Agal,None,Cigar
47,Medium 2,Sideburns,White Shemagh & Agal,Round Shades,None
48,Dark 1,Sideburns & Mustache,White Shemagh & Agal,Classic Gold Shades,None
49,Medium 2,Stylish Mustache,White Shemagh & Agal,Big Shades,Shadowless Vape
50,Light 2,Normal Brown Beard,White Shemagh & Gold Agal,Rimless Glasses,None
51,Light 2,Luxurious White Beard,Red Shemagh & Agal,3D Glasses,None
52,Medium 1,Light Beard,Red Shemagh & Agal,Big Purple Shades,None
53,Medium 1,Short Grey Beard,Red Shemagh & Agal,None,Shadowless Vape
54,Dark 1,Shadow Beard,Brown Shemagh & Agal,None,None
55,Dark 1,Shadow Beard,White Shemagh & Agal,Small Shades,Cigar
56,Light 1,Shadow Beard,Red Shemagh & Agal,None,Shadowless Cigarette
57,Medium 2,Short White Beard,Brown Shemagh & Agal,Stylish Nerd Glasses,None
58,Medium 2,Normal White Beard,White Shemagh & Agal,None,None
59,Dark 1,Short White Beard,Red Shemagh & Agal,Square Shades,Cigar
60,Medium 1,Shadow Beard,Red Shemagh,Big Pixel Shades,Cigarette
61,Dark 2,Luxurious Beard,White Shemagh & Agal,Laser Eyes,None
62,Medium 2,Luxurious Brown Beard,White Shemagh & Agal,Small Shades,Cigarette
63,Light 2,Sideburns,White Shemagh & Gold Agal,None,None
64,Medium 2,Shadow Beard,Red Shemagh,Square Shades,None
65,Dark 2,Sideburns,Red Shemagh & Agal,Horn Rimmed Glasses,None
66,Medium 2,Sideburns & Mustache,White Shemagh & Gold Agal,Big Purple Shades,None
67,Medium 2,Sideburns,Red Shemagh,Classic Shades,None
68,Medium 1,Normal Brown Beard & Mustache,Red Shemagh & Agal,Regular Reflective Shades,Shadowless Vape
69,Dark 1,Normal White Beard,Red Shemagh & Agal,Big Green Shades,Shadowless Vape
70,Dark 1,Messy White Beard,Brown Shemagh & Agal,Small Shades,None
71,Light 2,Messy Brown Beard,White Shemagh & Agal,Regular Pixel Shades,None
72,Light 2,Sideburns & Mustache,White Shemagh,Square Reflective Shades,None
73,Light 1,Short Grey Beard,White Shemagh,Regular Shades,Rosewood Pipe
74,Dark 2,Normal Brown Beard,Brown Shemagh & Agal,Big Round Shades,None
75,Light 2,Shadow Beard,White Shemagh,Round Shades,None
76,Medium 1,Messy Brown Beard,Red Shemagh & Agal,Round Shades,None
77,Light 2,Messy Brown Beard,White Shemagh,None,None
78,Dark 2,Stylish Mustache,Red Shemagh & Agal,Square Shades,None
79,Dark 2,Shadow Beard,White Shemagh,Nerd Glasses,None
80,Light 1,Light Beard,Red Shemagh,Regular Pixel Shades,None
81,Light 1,Normal White Beard,White Shemagh,Stylish Nerd Glasses,None
82,Light 2,Messy White Beard,Red Shemagh & Agal,Regular Pixel Shades,None
83,Dark 2,Messy White Beard,Red Shemagh & Agal,Square Shades,Cigarette
84,Light 2,Light Beard,White Shemagh & Agal,Horn Rimmed Glasses,None
85,Light 1,Shadow Beard & Mustache,Red Shemagh & Agal,Classic Gold Shades,None
86,Dark 2,Luxurious White Beard,Brown Shemagh & Agal,Classic Shades,None
87,Medium 2,Luxurious White Beard,White Shemagh & Agal,Regular Pixel Shades,Cigar
88,Dark 2,Short Grey Beard,Red Shemagh & Agal,Classic Shades,None
89,Medium 2,Luxurious White Beard,Red Shemagh & Agal,Horn Rimmed Glasses,None
90,Dark 1,Short White Beard,White Shemagh & Stylish Gold Agal,Big Round Shades,None
91,Light 2,Light Beard,Red Shemagh,3D Glasses,None
92,Dark 1,Normal Brown Beard & Mustache,White Shemagh & Agal,3D Glasses,Vape
93,Medium 1,Shadow Beard,White Shemagh & Agal,None,None
94,Medium 2,Messy White Beard,Red Shemagh,Regular Reflective Shades,None
95,Medium 2,Normal Brown Beard & Mustache,White Shemagh & Agal,None,None
96,Medium 1,Light Beard,Red Shemagh,None,Cigarette
97,Light 2,Messy Brown Beard,Red Shemagh,Horn Rimmed Glasses,None
98,Dark 2,Sideburns,Red Shemagh & Agal,None,Miswak
99,Medium 2,Normal Brown Beard,Brown Shemagh & Agal,Big Pixel Shades,None
100,Dark 2,Clean Shaven,White Shemagh & Agal,Small Shades,None
101,Dark 1,None,White Shemagh & Agal,Regular Pixel Shades,None
102,Light 2,Sideburns & Mustache,Red Shemagh,None,Cigarette
103,Medium 2,Short White Beard,White Shemagh & Agal,Square Shades,None
104,Dark 2,Normal Beard,Brown Shemagh & Agal,Regular Shades,None
105,Medium 1,Normal Beard,Brown Shemagh & Agal,Small Shades,None
106,Medium 1,Shadow Beard,White Shemagh,None,None
107,Dark 2,Normal Brown Beard,White Shemagh & Agal,Classic Green Shades,Shadowless Vape
108,Medium 2,Short White Beard,White Shemagh,None,None
109,Dark 2,Messy Brown Beard,Brown Shemagh & Agal,Nerd Glasses,None
110,Medium 2,Messy Brown Beard,Red Shemagh & Agal,Big Pixel Shades,None
111,Light 2,Normal Brown Beard,Brown Shemagh & Agal,VR,None
112,Dark 2,Light Beard,Brown Shemagh & Agal,Square Shades,Cigarette
113,Light 2,Normal Brown Beard & Mustache,White Shemagh,Regular Shades,None
114,Medium 1,Sideburns,Red Shemagh & Agal,Stylish Nerd Glasses,None
115,Medium 2,Light Beard,Brown Shemagh & Agal,Big Shades,None
116,Medium 1,Sideburns & Mustache,White Shemagh & Agal,None,None
117,Light 2,Normal White Beard,White Shemagh,Rimless Glasses,Cigarette
118,Dark 2,Short White Beard,Red Shemagh,None,None
119,Medium 2,Sideburns & Mustache,Brown Shemagh & Agal,Stylish Nerd Glasses,None
120,Medium 1,Stylish Mustache,Red Shemagh & Agal,Big Pixel Shades,Bubble Gum
121,Medium 1,Sideburns,Red Shemagh & Agal,Classic Shades,Shadowless Cigarette
122,Dark 2,Light Beard,Red Shemagh,None,None
123,Light 2,Luxurious White Beard,Brown Shemagh & Agal,Classic Green Shades,None
124,Medium 2,Light Beard,Brown Shemagh & Agal,VR,None
125,Light 1,Shadow Beard,Red Shemagh & Agal,Horn Rimmed Glasses,None
126,Light 2,Light Beard,Brown Shemagh & Agal,Nerd Glasses,None
127,Dark 2,Normal White Beard,White Shemagh & Stylish Gold Agal,MAX BIDDING,None
128,Dark 2,Normal Brown Beard & Mustache,Red Shemagh & Agal,Regular Shades,None
129,Light 1,Light Beard,White Shemagh & Stylish Gold Agal,Round Shades,Bubble Gum
130,Light 2,Stylish Mustache,White Shemagh & Agal,Small Shades,None
131,Dark 1,Sideburns,White Shemagh & Agal,Big Pixel Shades,Vape
132,Dark 1,Shadow Beard,Red Shemagh & Agal,Rimless Glasses,None
133,Dark 2,Normal White Beard,Red Shemagh & Agal,Regular Reflective Shades,None
